InputSize,Time(ms)
1000,0.0029
2000,0.0046
3000,0.0059
4000,0.0077
5000,0.0083
6000,0.0104
7000,0.0113
8000,0.0118
9000,0.0147
10000,0.0153
11000,0.0159
12000,0.0167
13000,0.0208
14000,0.0212
15000,0.0221
16000,0.0225
17000,0.0231
18000,0.0236
19000,0.0292
20000,0.03
21000,0.031
22000,0.0313
23000,0.0317
24000,0.0323
25000,0.0332
26000,0.0347
27000,0.0343
28000,0.0424
29000,0.0431
30000,0.0436
31000,0.0442
32000,0.0447
33000,0.0456
34000,0.0465
35000,0.0473
36000,0.0475
37000,0.0483
38000,0.0488
39000,0.0497
40000,0.0499
41000,0.0617
42000,0.0624
43000,0.0631
44000,0.0638
45000,0.0643
46000,0.0647
47000,0.0652
48000,0.0661
49000,0.0666
50000,0.0675
51000,0.0679
52000,0.0685
53000,0.0691
54000,0.0699
55000,0.0701
56000,0.0708
57000,0.0714
58000,0.072
59000,0.0725
60000,0.0737
61000,0.0744
62000,0.0925
63000,0.0923
64000,0.0928
65000,0.0935
66000,0.0939
67000,0.0945
68000,0.0951
69000,0.0965
70000,0.0964
71000,0.0969
72000,0.0977
73000,0.098
74000,0.0996
75000,0.0997
76000,0.1009
77000,0.1007
78000,0.1012
79000,0.1017
80000,0.1024
81000,0.1033
82000,0.1035
83000,0.1042
84000,0.1054
85000,0.1053
86000,0.1061
87000,0.1067
88000,0.1076
89000,0.1076
90000,0.1086
91000,0.1088
92000,0.1107
93000,0.1344
94000,0.1373
95000,0.1375
96000,0.1379
97000,0.1383
98000,0.1387
99000,0.1398
100000,0.1399
