InputSize,Time(ms)
1000,0.002
2000,0.002
3000,0.0025
4000,0.0039
5000,0.0045
6000,0.0051
7000,0.0062
8000,0.0064
9000,0.0071
10000,0.0081
11000,0.0085
12000,0.0091
13000,0.0098
14000,0.0104
15000,0.0113
16000,0.0162
17000,0.0166
18000,0.0173
19000,0.018
20000,0.0185
21000,0.0191
22000,0.0197
23000,0.0206
24000,0.0212
25000,0.0216
26000,0.0222
27000,0.023
28000,0.0234
29000,0.0242
30000,0.0248
31000,0.0255
32000,0.0259
33000,0.0267
34000,0.0271
35000,0.0276
36000,0.0285
37000,0.0291
38000,0.0294
39000,0.0302
40000,0.0307
41000,0.0313
42000,0.0319
43000,0.0325
44000,0.0332
45000,0.0339
46000,0.0348
47000,0.035
48000,0.0354
49000,0.0361
50000,0.0366
51000,0.0377
52000,0.0379
53000,0.0389
54000,0.0391
55000,0.0399
56000,0.0412
57000,0.0413
58000,0.0417
59000,0.0421
60000,0.043
61000,0.0434
62000,0.044
63000,0.0446
64000,0.0452
65000,0.0459
66000,0.0467
67000,0.0474
68000,0.0478
69000,0.0485
70000,0.0489
71000,0.0498
72000,0.0501
73000,0.0507
74000,0.0516
75000,0.0519
76000,0.0527
77000,0.0535
78000,0.0539
79000,0.1427
80000,0.1543
81000,0.146
82000,0.1477
83000,0.1579
84000,0.1507
85000,0.1493
86000,0.1676
87000,0.1663
88000,0.1732
89000,0.1535
90000,0.1581
91000,0.1646
92000,0.1601
93000,0.1608
94000,0.1619
95000,0.1639
96000,0.1636
97000,0.161
98000,0.1687
99000,0.1683
100000,0.1887
