InputSize,Time(ms)
1000,0.0284
2000,0.0855
3000,0.1674
4000,0.2768
5000,0.4121
6000,0.6068
7000,0.9544
8000,1.0638
9000,1.3119
10000,1.6104
11000,1.931
12000,2.2706
13000,2.6991
14000,3.0647
15000,3.4734
16000,4.0215
17000,4.3876
18000,4.6819
19000,5.5852
20000,6.4954
21000,6.6622
22000,7.5418
23000,8.1167
24000,8.7947
25000,9.4503
26000,9.6396
27000,10.1642
28000,10.9404
29000,11.3947
30000,12.279
31000,13.2374
32000,14.0642
33000,14.9187
34000,16.2283
35000,16.895
36000,17.6327
37000,18.9444
38000,20.1724
39000,20.5827
40000,21.711
41000,22.9857
42000,24.1385
43000,25.2264
44000,26.082
45000,28.0192
46000,28.7005
47000,29.7717
48000,31.1645
49000,32.3799
50000,33.5937
51000,34.9248
52000,36.6528
53000,38.0099
54000,39.5303
55000,42.4495
56000,42.4742
57000,44.8639
58000,46.373
59000,47.762
60000,48.4819
61000,50.303
62000,51.7948
63000,53.5445
64000,55.1819
65000,56.7194
66000,58.5954
67000,60.5249
68000,61.8266
69000,64.1661
70000,66.2419
71000,65.5729
72000,68.6601
73000,70.6734
74000,72.3416
75000,74.406
76000,76.6015
77000,77.9896
78000,80.2022
79000,82.4996
80000,84.6759
81000,86.713
82000,88.8017
83000,90.8524
84000,93.5955
85000,94.5987
86000,97.109
87000,99.3219
88000,101.883
89000,104.06
90000,106.225
91000,109.998
92000,113.225
93000,114.909
94000,115.752
95000,118.232
96000,121.448
97000,124.83
98000,128.539
99000,129.133
100000,131.77
