InputSize,Time(ms)
1000,0.0007
2000,0.0011
3000,0.0016
4000,0.0021
5000,0.0026
6000,0.0031
7000,0.0035
8000,0.0041
9000,0.0047
10000,0.0053
11000,0.0061
12000,0.0071
13000,0.008
14000,0.0086
15000,0.0093
16000,0.0099
17000,0.0105
18000,0.0111
19000,0.0117
20000,0.0123
21000,0.0129
22000,0.0135
23000,0.0141
24000,0.0148
25000,0.0153
26000,0.016
27000,0.0166
28000,0.0172
29000,0.0178
30000,0.0184
31000,0.019
32000,0.0196
33000,0.0202
34000,0.0208
35000,0.0215
36000,0.022
37000,0.0226
38000,0.0232
39000,0.0238
40000,0.0245
41000,0.0251
42000,0.0257
43000,0.0264
44000,0.0269
45000,0.0275
46000,0.0281
47000,0.0287
48000,0.0293
49000,0.03
50000,0.0306
51000,0.0312
52000,0.0318
53000,0.0316
54000,0.033
55000,0.0336
56000,0.0342
57000,0.0348
58000,0.0354
59000,0.036
60000,0.0367
61000,0.0372
62000,0.0378
63000,0.0384
64000,0.0391
65000,0.0397
66000,0.0403
67000,0.0409
68000,0.0416
69000,0.0421
70000,0.0427
71000,0.0433
72000,0.0439
73000,0.0445
74000,0.0454
75000,0.0458
76000,0.0464
77000,0.0469
78000,0.0475
79000,0.0482
80000,0.0487
81000,0.0494
82000,0.0501
83000,0.0506
84000,0.0512
85000,0.0518
86000,0.0524
87000,0.0532
88000,0.0537
89000,0.0542
90000,0.0549
91000,0.0555
92000,0.0561
93000,0.0567
94000,0.0573
95000,0.0583
96000,0.0584
97000,0.059
98000,0.0599
99000,0.0603
100000,0.061
