InputSize,Time(ms)
1000,0.0007
2000,0.0011
3000,0.0016
4000,0.0021
5000,0.0026
6000,0.0031
7000,0.0036
8000,0.004
9000,0.0046
10000,0.0052
11000,0.0061
12000,0.0072
13000,0.0086
14000,0.0093
15000,0.01
16000,0.0107
17000,0.0113
18000,0.012
19000,0.0126
20000,0.0133
21000,0.0139
22000,0.0146
23000,0.0152
24000,0.0159
25000,0.0165
26000,0.0172
27000,0.0179
28000,0.0185
29000,0.0192
30000,0.0199
31000,0.0205
32000,0.0212
33000,0.0219
34000,0.0226
35000,0.0232
36000,0.0238
37000,0.0244
38000,0.0251
39000,0.0258
40000,0.0264
41000,0.0271
42000,0.0277
43000,0.0284
44000,0.0291
45000,0.0298
46000,0.0303
47000,0.031
48000,0.0317
49000,0.0323
50000,0.0331
51000,0.0337
52000,0.0343
53000,0.035
54000,0.0356
55000,0.0365
56000,0.0372
57000,0.0376
58000,0.0383
59000,0.0389
60000,0.0396
61000,0.0402
62000,0.0409
63000,0.0415
64000,0.0422
65000,0.0428
66000,0.0435
67000,0.0442
68000,0.0448
69000,0.0455
70000,0.0462
71000,0.0469
72000,0.0475
73000,0.0483
74000,0.0489
75000,0.0494
76000,0.0501
77000,0.0507
78000,0.0514
79000,0.052
80000,0.0527
81000,0.0535
82000,0.0543
83000,0.0547
84000,0.0553
85000,0.056
86000,0.0567
87000,0.0573
88000,0.0579
89000,0.0587
90000,0.0594
91000,0.0601
92000,0.0607
93000,0.0614
94000,0.062
95000,0.0626
96000,0.0632
97000,0.0639
98000,0.0645
99000,0.0652
100000,0.0659
