InputSize,Time(ms)
1000,0.05537
2000,0.04325
3000,0.04756
4000,0.05096
5000,0.05375
6000,0.06
7000,0.06401
8000,0.06886
9000,0.07024
10000,0.07335
11000,0.08668
12000,0.08993
13000,0.0911
14000,0.09431
15000,0.10195
16000,0.09743
17000,0.1049
18000,0.11302
19000,0.11099
20000,0.11678
21000,0.12997
22000,0.12538
23000,0.12718
24000,0.15637
25000,0.14035
26000,0.13789
27000,0.16043
28000,0.16803
29000,0.14774
30000,0.15151
31000,0.1561
32000,0.16975
33000,0.16285
34000,0.16353
35000,0.19571
36000,0.18725
37000,0.18383
38000,0.18805
39000,0.19131
40000,0.19023
41000,0.22554
42000,0.21815
43000,0.27441
44000,0.2436
45000,0.2684
46000,0.23291
47000,0.25627
48000,0.28808
49000,0.254
50000,0.24848
51000,0.2482
52000,0.25117
53000,0.28391
54000,0.26095
55000,0.25409
56000,0.27323
57000,0.28113
58000,0.28915
59000,0.26641
60000,0.28194
61000,0.2859
62000,0.42271
63000,0.32531
64000,0.31197
65000,0.34226
66000,0.31674
67000,0.32255
68000,0.31028
69000,0.29353
70000,0.31315
71000,0.32653
72000,0.33252
73000,0.31519
74000,0.32258
75000,0.34475
76000,0.34308
77000,0.32985
78000,0.32405
79000,0.35275
80000,0.35243
81000,0.34534
82000,0.40935
83000,0.43157
84000,0.41274
85000,0.39829
86000,0.41404
87000,0.43491
88000,0.42886
89000,0.41647
90000,0.45796
91000,0.4112
92000,0.42818
93000,0.44295
94000,0.44272
95000,0.44078
96000,0.44146
97000,0.47677
98000,0.45441
99000,0.46694
100000,0.45616
