InputSize,Time(ms)
1000,0.06324
2000,0.05922
3000,0.07835
4000,0.07222
5000,0.08123
6000,0.08304
7000,0.0962
8000,0.09886
9000,0.10848
10000,0.10946
11000,0.11172
12000,0.1129
13000,0.11316
14000,0.12074
15000,0.13567
16000,0.14973
17000,0.14252
18000,0.16842
19000,0.14166
20000,0.14549
21000,0.14922
22000,0.15173
23000,0.16506
24000,0.17784
25000,0.17362
26000,0.1856
27000,0.19871
28000,0.20747
29000,0.19163
30000,0.19295
31000,0.1903
32000,0.2029
33000,0.21697
34000,0.21355
35000,0.20247
36000,0.24695
37000,0.3517
38000,0.23466
39000,0.30163
40000,0.23815
41000,0.26607
42000,0.28338
43000,0.24423
44000,0.25526
45000,0.28121
46000,0.29412
47000,0.29335
48000,0.27403
49000,0.27576
50000,0.28351
51000,0.2741
52000,0.27239
53000,0.30771
54000,0.29355
55000,0.2971
56000,0.30773
57000,0.30305
58000,0.44137
59000,0.3834
60000,0.33254
61000,0.32888
62000,0.33942
63000,0.32144
64000,0.40502
65000,0.46423
66000,0.39286
67000,0.42333
68000,0.37527
69000,0.38865
70000,0.35228
71000,0.38892
72000,0.45435
73000,0.36741
74000,0.3726
75000,0.42855
76000,0.38744
77000,0.36792
78000,0.40292
79000,0.53563
80000,0.41568
81000,0.42817
82000,0.58076
83000,0.44227
84000,0.42278
85000,0.54766
86000,0.43653
87000,0.55253
88000,0.4661
89000,0.4945
90000,0.55145
91000,0.47231
92000,0.47252
93000,0.46826
94000,0.54639
95000,0.47166
96000,0.47826
97000,0.71973
98000,0.49996
99000,0.47969
100000,0.51433
