InputSize,Time(ms)
1000,0.0274
2000,0.03021
3000,0.04949
4000,0.05202
5000,0.04749
6000,0.06108
7000,0.09147
8000,0.06599
9000,0.13001
10000,0.07228
11000,0.09438
12000,0.08249
13000,0.0802
14000,0.08391
15000,0.0869
16000,0.08224
17000,0.08745
18000,0.0928
19000,0.10144
20000,0.10676
21000,0.1095
22000,0.12553
23000,0.12574
24000,0.13754
25000,0.13031
26000,0.12944
27000,0.15908
28000,0.13532
29000,0.14596
30000,0.14662
31000,0.14906
32000,0.14526
33000,0.15581
34000,0.15924
35000,0.16374
36000,0.16102
37000,0.17006
38000,0.17135
39000,0.18669
40000,0.17134
41000,0.18386
42000,0.19507
43000,0.19522
44000,0.18654
45000,0.20548
46000,0.20292
47000,0.21126
48000,0.25174
49000,0.26793
50000,0.20594
51000,0.20786
52000,0.21139
53000,0.29865
54000,0.22811
55000,0.2408
56000,0.22392
57000,0.25042
58000,0.26522
59000,0.30898
60000,0.25561
61000,0.25232
62000,0.25708
63000,0.2909
64000,0.26858
65000,0.26696
66000,0.32958
67000,0.33867
68000,0.35443
69000,0.30166
70000,0.34391
71000,0.31978
72000,0.36312
73000,0.327
74000,0.33429
75000,0.32847
76000,0.34204
77000,0.32856
78000,0.38955
79000,0.3811
80000,0.36005
81000,0.37736
82000,0.33781
83000,0.35893
84000,0.41427
85000,0.4219
86000,0.38424
87000,0.39307
88000,0.42357
89000,0.41765
90000,0.40398
91000,0.41511
92000,0.37999
93000,0.38109
94000,0.42376
95000,0.39625
96000,0.38954
97000,0.41016
98000,0.38607
99000,0.39761
100000,0.4196
