InputSize,Time(ms)
1000,0.35719
2000,0.71369
3000,1.1535
4000,1.54047
5000,2.34286
6000,2.44385
7000,2.93589
8000,3.28741
9000,3.65427
10000,4.34187
11000,4.73062
12000,5.12052
13000,5.61188
14000,6.41596
15000,6.87273
16000,7.46992
17000,8.36166
18000,9.05276
19000,9.31037
20000,10.2001
21000,11.6497
22000,12.4587
23000,13.7929
24000,14.6285
25000,14.8021
26000,16.4067
27000,17.5509
28000,19.282
29000,19.5013
30000,18.9163
31000,20.2297
32000,20.9472
33000,22.1852
34000,23.4263
35000,26.2302
36000,27.8495
37000,25.277
38000,25.7888
39000,26.6201
40000,27.7869
41000,29.1355
42000,29.8678
43000,31.4071
44000,32.4423
45000,33.5371
46000,34.7717
47000,35.8313
48000,36.9147
49000,37.9386
50000,39.7925
51000,40.9164
52000,42.2678
53000,43.5127
54000,44.692
55000,48.9533
56000,50.0395
57000,48.5184
58000,50.0551
59000,51.6265
60000,52.9621
61000,54.4446
62000,55.1842
63000,56.7316
64000,58.528
65000,59.8054
66000,61.5201
67000,62.7919
68000,64.1839
69000,64.2254
70000,67.0114
71000,67.5816
72000,69.5586
73000,70.744
74000,73.2583
75000,74.2034
76000,76.2078
77000,79.5651
78000,80.1472
79000,82.8127
80000,83.6608
81000,84.7809
82000,86.3625
83000,87.8752
84000,89.8089
85000,91.3593
86000,93.3593
87000,95.1586
88000,96.0832
89000,97.6662
90000,99.4948
91000,102.516
92000,109.242
93000,111.398
94000,113.391
95000,111.676
96000,113.134
97000,115.633
98000,116.898
99000,119.188
100000,121.748
