InputSize,Time(ms)
1000,0.01008
2000,0.01323
3000,0.01462
4000,0.01697
5000,0.02061
6000,0.02249
7000,0.02476
8000,0.02984
9000,0.0319
10000,0.03519
11000,0.0351
12000,0.03729
13000,0.04038
14000,0.04274
15000,0.04531
16000,0.04728
17000,0.05316
18000,0.06171
19000,0.06262
20000,0.05862
21000,0.06286
22000,0.06449
23000,0.06587
24000,0.06816
25000,0.07214
26000,0.07524
27000,0.08015
28000,0.08067
29000,0.08422
30000,0.09482
31000,0.09993
32000,0.10143
33000,0.10329
34000,0.09432
35000,0.10943
36000,0.10695
37000,0.10857
38000,0.1069
39000,0.10866
40000,0.11795
41000,0.12873
42000,0.13835
43000,0.17798
44000,0.12911
45000,0.14177
46000,0.13533
47000,0.13371
48000,0.14891
49000,0.14771
50000,0.15686
51000,0.15309
52000,0.14808
53000,0.14744
54000,0.15881
55000,0.16337
56000,0.16387
57000,0.16723
58000,0.17207
59000,0.16629
60000,0.16871
61000,0.16979
62000,0.17335
63000,0.18381
64000,0.17634
65000,0.18311
66000,0.18712
67000,0.19719
68000,0.19356
69000,0.1939
70000,0.20128
71000,0.19823
72000,0.20664
73000,0.2073
74000,0.20616
75000,0.20764
76000,0.21091
77000,0.21305
78000,0.21705
79000,0.22303
80000,0.23809
81000,0.23491
82000,0.22828
83000,0.24303
84000,0.26081
85000,0.25234
86000,0.27128
87000,0.25262
88000,0.26196
89000,0.24697
90000,0.27833
91000,0.25897
92000,0.26858
93000,0.25998
94000,0.25694
95000,0.28362
96000,0.28698
97000,0.27395
98000,0.27649
99000,0.27656
100000,0.28464
